region,price,year,cylinders,fuel,odometer,title_status,transmission,drive,lat,long
birmingham,31900,2019.0,6,1,29497.0,1,1,1,36.4641,-86.65828
birmingham,32900,2019.0,6,1,6735.0,1,1,1,36.4641,-86.65828
birmingham,34500,2019.0,6,1,7646.0,1,1,1,36.4641,-86.65828
birmingham,32700,2019.0,6,1,13646.0,1,1,1,36.4641,-86.65828
birmingham,32900,2019.0,6,1,6735.0,1,1,1,36.4641,-86.65828
birmingham,34800,2019.0,6,1,31020.0,1,1,1,36.4641,-86.65828
birmingham,32800,2018.0,6,1,43479.0,1,1,1,36.4641,-86.65828
birmingham,38300,2020.0,6,1,7540.0,1,1,1,36.4641,-86.65828
birmingham,34800,2019.0,6,1,31020.0,1,1,1,36.4641,-86.65828
huntsville / decatur,14882,2015.0,6,1,151780.0,2,1,1,36.107596,-86.743824
huntsville / decatur,32900,2019.0,6,1,6735.0,1,1,1,36.4641,-86.65828
huntsville / decatur,31900,2019.0,6,1,29497.0,1,1,1,36.4641,-86.65828
huntsville / decatur,19442,2018.0,6,1,104624.0,2,1,1,36.107596,-86.743824
huntsville / decatur,34500,2019.0,6,1,7646.0,1,1,1,36.4641,-86.65828
huntsville / decatur,32700,2019.0,6,1,13646.0,1,1,1,36.4641,-86.65828
huntsville / decatur,32900,2019.0,6,1,6735.0,1,1,1,36.4641,-86.65828
huntsville / decatur,34800,2019.0,6,1,31020.0,1,1,1,36.4641,-86.65828
huntsville / decatur,38300,2020.0,6,1,7540.0,1,1,1,36.4641,-86.65828
huntsville / decatur,32800,2018.0,6,1,43479.0,1,1,1,36.4641,-86.65828
huntsville / decatur,34800,2019.0,6,1,31020.0,1,1,1,36.4641,-86.65828
anchorage / mat-su,25995,2018.0,4,1,6377.0,1,1,2,61.218268,-149.86609
anchorage / mat-su,25995,2018.0,4,1,6377.0,1,1,2,61.218268,-149.86609
flagstaff / sedona,18995,2015.0,4,1,61000.0,1,1,2,35.1859,-111.662
phoenix,21995,2015.0,6,1,102598.0,1,1,1,33.623957,-112.010345
phoenix,29995,2018.0,5,2,72951.0,1,1,1,33.623671,-112.00985
phoenix,23995,2015.0,6,1,90547.0,1,1,1,33.623671,-112.010708
phoenix,26995,2019.0,6,1,30703.0,1,1,1,33.623814,-112.010536
phoenix,16995,2015.0,6,1,80384.0,1,1,1,33.623814,-112.010365
phoenix,17995,2016.0,6,1,81037.0,1,1,1,33.624243,-112.009678
tucson,21995,2015.0,6,1,102598.0,1,1,1,33.623671,-112.010345
tucson,29995,2018.0,5,2,72951.0,1,1,1,33.623814,-112.010708
tucson,23995,2015.0,6,1,90547.0,1,1,1,33.624243,-112.010193
tucson,19995,2015.0,6,1,67000.0,1,1,1,32.1707,-110.9719
tucson,26995,2019.0,6,1,30703.0,1,1,1,33.623671,-112.010708
tucson,16995,2015.0,6,1,80384.0,1,1,1,33.623814,-112.010365
tucson,17995,2016.0,6,1,81037.0,1,1,1,33.623957,-112.010021
little rock,32900,2019.0,6,1,6735.0,1,1,1,36.4641,-86.65828
little rock,31900,2019.0,6,1,29497.0,1,1,1,36.4641,-86.65828
little rock,34800,2019.0,6,1,31020.0,1,1,1,36.4641,-86.65828
little rock,38300,2020.0,6,1,7540.0,1,1,1,36.4641,-86.65828
little rock,32800,2018.0,6,1,43479.0,1,1,1,36.4641,-86.65828
fresno / madera,29999,2016.0,6,1,71744.0,1,1,1,36.831443,-119.699919
modesto,32980,2019.0,6,1,23530.0,1,1,1,38.79662,-121.21584
modesto,32980,2019.0,6,1,17445.0,1,1,1,38.79662,-121.21584
reno / tahoe,32980,2019.0,6,1,23530.0,1,1,1,38.79662,-121.21584
reno / tahoe,32980,2019.0,6,1,17445.0,1,1,1,38.79662,-121.21584
sacramento,27977,2016.0,6,1,37071.0,1,1,1,38.60558,-121.40211
san luis obispo,35500,2015.0,6,1,82500.0,1,1,1,35.3773,-120.8536
san luis obispo,36000,2019.0,6,1,21590.0,1,1,1,35.3773,-120.8536
san luis obispo,42500,2019.0,6,1,112.0,1,1,1,35.3773,-120.8536
san luis obispo,29500,2016.0,6,1,11595.0,1,1,1,35.3773,-120.8536
san luis obispo,26000,2019.0,6,1,20113.0,1,1,1,35.3773,-120.8536
san luis obispo,30000,2015.0,5,1,91824.0,1,1,1,35.3773,-120.8536
san luis obispo,17500,2015.0,6,1,103703.0,1,1,1,35.3773,-120.8536
san luis obispo,36000,2019.0,6,1,38926.0,1,1,1,35.3773,-120.8536
san luis obispo,28750,2017.0,6,1,7893.0,1,1,1,35.3773,-120.8536
san luis obispo,16500,2015.0,6,1,120074.0,1,1,1,35.3773,-120.8536
san luis obispo,21000,2017.0,6,1,100755.0,1,1,1,35.3773,-120.8536
SF bay area,20900,2015.0,6,1,86000.0,1,1,1,37.7015,-122.0782
SF bay area,27977,2016.0,6,1,37071.0,1,1,1,38.60558,-121.40211
stockton,34995,2019.0,6,1,34394.0,1,1,1,37.637112,-122.054679
boulder,60000,2016.0,6,1,57000.0,1,1,1,40.0497,-105.2143
colorado springs,21000,2017.0,6,1,109705.0,1,1,1,40.162959,-105.098224
denver,21000,2017.0,6,1,109705.0,1,1,1,40.162959,-105.098224
fort collins / north CO,21000,2017.0,6,1,109705.0,1,1,1,40.162959,-105.098224
fort collins / north CO,29999,2019.0,6,1,10994.0,1,1,1,40.374375,-104.694103
hartford,19995,2015.0,6,1,96346.0,1,1,1,42.13448,-70.950051
hartford,19995,2015.0,6,1,96346.0,1,1,1,42.13448,-70.950051
"washington, DC",25795,2017.0,6,3,124335.0,1,1,1,38.762669,-77.461754
"washington, DC",19995,2017.0,6,3,142370.0,1,1,1,38.762669,-77.461754
"washington, DC",17795,2015.0,6,1,145380.0,1,1,1,38.762669,-77.461754
"washington, DC",17995,2015.0,6,1,108089.0,1,1,1,38.759388,-77.454182
"washington, DC",19995,2017.0,6,3,142370.0,1,1,1,38.762669,-77.461754
ft myers / SW florida,34995,2020.0,6,1,7.0,1,1,1,26.410944,-81.811871
gainesville,24500,2017.0,6,1,79467.0,1,1,1,28.567037,-81.291542
gainesville,31500,2019.0,6,1,31724.0,1,1,1,28.329026,-81.404237
gainesville,31500,2019.0,6,1,31724.0,1,1,1,28.329026,-81.404237
jacksonville,31500,2019.0,6,1,31724.0,1,1,1,28.329026,-81.404237
jacksonville,31500,2019.0,6,1,31724.0,1,1,1,28.329026,-81.404237
lakeland,25998,2018.0,6,1,142563.0,1,1,1,28.01567,-82.45978
lakeland,25998,2018.0,6,1,142563.0,1,1,1,28.00853,-82.45974
lakeland,23990,2016.0,6,1,60288.0,1,1,1,28.027023,-82.459896
ocala,24500,2017.0,6,1,79467.0,1,1,1,28.567037,-81.291542
ocala,25998,2018.0,6,1,142563.0,1,1,1,28.00853,-82.45974
ocala,25850,2015.0,6,1,186720.0,1,1,1,29.2573,-82.161
ocala,31500,2019.0,6,1,31724.0,1,1,1,28.329026,-81.404237
ocala,24500,2017.0,6,1,79467.0,1,1,1,28.567037,-81.291542
ocala,31500,2019.0,6,1,31724.0,1,1,1,28.329026,-81.404237
orlando,25998,2018.0,6,1,142563.0,1,1,1,28.01567,-82.45978
orlando,24500,2017.0,6,1,79467.0,1,1,1,28.567037,-81.291542
orlando,19996,2016.0,6,3,114412.0,1,1,1,28.55055,-81.57848
orlando,36996,2020.0,6,3,15060.0,1,3,1,28.55055,-81.57848
orlando,25296,2018.0,6,1,57669.0,1,1,1,28.55055,-81.57848
orlando,31996,2019.0,6,1,37625.0,1,1,1,28.55055,-81.57848
orlando,33996,2019.0,6,1,44624.0,1,1,1,28.55055,-81.57848
orlando,18996,2015.0,6,3,129768.0,1,1,1,28.55055,-81.57848
orlando,30996,2016.0,6,3,82142.0,1,1,1,28.55055,-81.57848
orlando,24500,2017.0,6,1,79467.0,1,1,1,28.567037,-81.291542
orlando,22000,2016.0,6,1,103699.0,1,1,1,28.5803,-81.4396
orlando,24500,2017.0,6,1,79467.0,1,1,1,28.567037,-81.291542
orlando,31500,2019.0,6,1,31724.0,1,1,1,28.329026,-81.404237
orlando,32500,2015.0,6,1,69332.0,1,1,1,28.5803,-81.4396
orlando,24500,2017.0,6,1,79467.0,1,1,1,28.567037,-81.291542
south florida,22000,2015.0,6,1,136640.0,1,1,1,25.888195,-80.262858
space coast,29995,2015.0,6,1,73000.0,1,1,1,28.4566,-80.7978
tallahassee,31500,2019.0,6,1,31724.0,1,1,1,28.329026,-81.404237
tallahassee,31500,2019.0,6,1,31724.0,1,1,1,28.329026,-81.404237
tampa bay area,25998,2018.0,6,1,142563.0,1,1,1,28.01567,-82.45978
tampa bay area,25998,2018.0,6,1,142563.0,1,1,1,28.00853,-82.45974
tampa bay area,19998,2017.0,6,1,129666.0,1,1,1,28.00853,-82.45974
atlanta,19000,2017.0,6,1,94000.0,1,1,1,32.9015,-84.3324
atlanta,31900,2019.0,6,1,29497.0,1,1,1,36.4641,-86.65828
atlanta,32900,2019.0,6,1,15294.0,1,1,1,36.4641,-86.65828
atlanta,32900,2019.0,6,1,16524.0,1,1,1,36.4641,-86.65828
atlanta,36700,2019.0,6,1,14985.0,1,1,1,36.4641,-86.65828
hawaii,35999,2019.0,6,1,13992.0,1,3,1,20.77208,-156.45154
boise,84900,2018.0,6,1,39000.0,1,1,1,43.6023,-116.1649
boise,7900,2011.0,6,1,97088.0,1,1,1,43.5741,-116.2941
east idaho,26788,2018.0,6,1,29137.0,1,1,1,43.5937,-116.536
chicago,14500,2015.0,6,1,112000.0,2,1,1,41.9463,-87.8061
peoria,32600,2019.0,6,1,36400.0,1,1,1,42.9468,-83.817
peoria,37995,2020.0,6,1,32000.0,1,1,1,42.018791,-91.632453
"quad cities, IA/IL",31695,2019.0,6,1,30000.0,1,1,1,42.018791,-91.632453
rockford,15500,2018.0,6,1,125000.0,1,1,1,42.3545,-89.0397
"st louis, MO",64900,2020.0,6,1,270.0,1,1,3,38.479267,-90.848964
fort wayne,26997,2020.0,6,1,22000.0,3,1,1,42.8187,-85.5244
indianapolis,14882,2015.0,6,1,151780.0,2,1,1,36.107596,-86.743824
indianapolis,19442,2018.0,6,1,104624.0,2,1,1,36.107596,-86.743824
indianapolis,15900,2015.0,6,1,127200.0,1,1,1,39.193119,-84.24725
indianapolis,38300,2020.0,6,1,7540.0,1,1,1,36.4641,-86.65828
indianapolis,34800,2019.0,6,1,31020.0,1,1,1,36.4641,-86.65828
indianapolis,32800,2018.0,6,1,43479.0,1,1,1,36.4641,-86.65828
cedar rapids,31695,2019.0,6,1,30000.0,1,1,1,42.018791,-91.632453
des moines,37995,2020.0,6,1,32000.0,1,1,1,42.018791,-91.632453
iowa city,31695,2019.0,6,1,30000.0,1,1,1,42.018791,-91.632453
iowa city,37995,2020.0,6,1,32000.0,1,1,1,42.018791,-91.632453
waterloo / cedar falls,37995,2020.0,6,1,32000.0,1,1,1,42.018791,-91.632453
bowling green,14882,2015.0,6,1,151780.0,2,1,1,36.107596,-86.743824
bowling green,32900,2019.0,6,1,6735.0,1,1,1,36.4641,-86.65828
bowling green,31900,2019.0,6,1,29497.0,1,1,1,36.4641,-86.65828
bowling green,19442,2018.0,6,1,104624.0,2,1,1,36.107596,-86.743824
bowling green,32700,2019.0,6,1,13646.0,1,1,1,36.4641,-86.65828
bowling green,32900,2019.0,6,1,6735.0,1,1,1,36.4641,-86.65828
bowling green,34800,2019.0,6,1,31020.0,1,1,1,36.4641,-86.65828
bowling green,34500,2019.0,6,1,7646.0,1,1,1,36.4641,-86.65828
bowling green,34800,2019.0,6,1,31020.0,1,1,1,36.4641,-86.65828
bowling green,38300,2020.0,6,1,7540.0,1,1,1,36.4641,-86.65828
bowling green,32800,2018.0,6,1,43479.0,1,1,1,36.4641,-86.65828
louisville,31900,2019.0,6,1,29497.0,1,1,1,36.4641,-86.65828
louisville,32900,2019.0,6,1,6735.0,1,1,1,36.4641,-86.65828
louisville,34500,2019.0,6,1,7646.0,1,1,1,36.4641,-86.65828
louisville,32700,2019.0,6,1,13646.0,1,1,1,36.4641,-86.65828
louisville,32900,2019.0,6,1,6735.0,1,1,1,36.4641,-86.65828
louisville,34800,2019.0,6,1,31020.0,1,1,1,36.4641,-86.65828
louisville,38300,2020.0,6,1,7540.0,1,1,1,36.4641,-86.65828
louisville,32800,2018.0,6,1,43479.0,1,1,1,36.4641,-86.65828
louisville,34800,2019.0,6,1,31020.0,1,1,1,36.4641,-86.65828
maine,23000,2019.0,4,1,12632.0,1,1,2,43.5835,-70.3457
boston,31390,2019.0,6,3,30419.0,1,1,1,42.130177,-71.524671
boston,21700,2015.0,6,1,71732.0,1,1,1,42.37967,-71.09024
boston,26590,2018.0,6,3,69616.0,1,1,1,42.130177,-71.524671
detroit metro,26997,2020.0,6,1,22000.0,3,1,1,42.8187,-85.5244
flint,40600,2020.0,6,1,17800.0,1,1,1,42.914295,-83.755627
grand rapids,26997,2020.0,6,1,22000.0,3,1,1,42.8187,-85.5244
grand rapids,30600,2019.0,6,1,43500.0,1,1,1,42.914295,-83.755627
grand rapids,5999,2010.0,4,1,109364.0,1,1,2,42.635127,-85.284634
grand rapids,17995,2016.0,6,1,128480.0,1,1,1,43.0506,-83.61512
grand rapids,5999,2010.0,4,1,109364.0,1,1,2,42.635127,-85.284634
kalamazoo,5999,2010.0,4,1,109364.0,1,1,2,42.635048,-85.284505
kalamazoo,5999,2010.0,4,1,109364.0,1,1,2,42.635048,-85.284505
lansing,17995,2016.0,6,1,128480.0,1,1,1,43.0506,-83.61512
northern michigan,17995,2016.0,6,1,128480.0,1,1,1,43.0506,-83.61512
southwest michigan,26997,2020.0,6,1,22000.0,3,1,1,42.8187,-85.5244
brainerd,22500,2015.0,6,1,70700.0,1,1,2,46.0902,-93.6867
billings,29999,2019.0,6,1,10994.0,1,1,1,40.374375,-104.694103
asheville,24999,2016.0,6,1,86000.0,1,1,1,36.1055,-83.946
charlotte,14882,2015.0,6,1,151780.0,2,1,1,36.107596,-86.743824
charlotte,19442,2018.0,6,1,104624.0,2,1,1,36.107596,-86.743824
